t,o,h,l,Price,v,RSI,MACD,MACD Signal,5d_ma,200d_ma,invested_capital_movement,Invested Capital,buy,sell,available_capital,quantities,stop_loss,position_size,gross_profit,gross_loss,Portfolio worth
2010-01-25,14.34,14.37,14.24,13.208935999999998,14800,,0.0,0.0,,,1000,1000.0,False,False,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-01-26,14.3,14.46,14.29,13.190485999999998,21200,0.0,-0.0014717948717972718,-0.0002943589743594544,,,0,1000.0,False,False,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-01-27,14.34,14.43,14.26,13.310401,15600,88.23442846105777,0.006957731024911595,0.0011560590254947557,,,0,1000.0,False,True,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-01-28,14.21,14.21,13.94,12.996781,5600,24.090238623781772,-0.011535349609006929,-0.0013822227014055812,,,0,1000.0,False,False,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-01-29,14.2,14.2,13.74,12.673936,17300,12.927482635200136,-0.051646790565962775,-0.01143513627431702,13.076108,,0,1000.0,False,False,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-02-01,13.86,13.88,13.8,12.803074,8500,28.2683247782753,-0.07218295894459281,-0.023584700808372182,12.9949356,,0,1000.0,False,False,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-02-02,13.9,14.02,13.88,12.922989,3600,39.6589668401139,-0.07788408278603143,-0.03444457720390404,12.941436200000002,,0,1000.0,False,False,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-02-03,14.01,14.08,14.01,12.987556,1300,45.07739548364522,-0.07631256348475546,-0.042818174460074326,12.876867200000001,,0,1000.0,False,False,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-02-04,14.03,14.03,13.7,12.664711,32500,29.6938021583332,-0.09996567441982585,-0.054247674452024636,12.810453200000001,,0,1000.0,False,False,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-02-05,13.76,13.76,13.54,12.498678,15900,24.693177952877292,-0.1306029017972179,-0.06951871992106329,12.7754016,,0,1000.0,False,False,1000.0,0.0,0.0,0.0,0.0,0.0,1000.0
2010-02-08,13.78,13.87,13.78,12.766179,6200,42.64815024639456,-0.13177896425190383,-0.0819707687872314,12.768022599999998,,200,1200.0,False,False,1200.0,0.0,0.0,0.0,0.0,0.0,1200.0
2010-02-09,13.87,13.95,13.78,12.775404,21500,43.18714668016441,-0.13046272869073583,-0.09166916076793229,12.7385056,,0,1200.0,False,False,1200.0,0.0,0.0,0.0,0.0,0.0,1200.0
2010-02-10,13.79,13.86,13.79,12.747729,11000,41.82645818086597,-0.13015242756798884,-0.0993658141279436,12.690540200000001,,0,1200.0,False,False,1200.0,0.0,0.0,0.0,0.0,0.0,1200.0
2010-02-11,13.75,14.06,13.75,12.941434,23300,53.62631891537777,-0.11297384489269824,-0.10208742028089454,12.745884800000002,,0,1200.0,False,False,1200.0,0.0,0.0,0.0,0.0,0.0,1200.0
