Date,Open,High,Low,Close,Adj Close,Volume
2019-03-08,18.100000,20.219999,18.049999,18.900000,18.900000,4313000
2019-03-11,20.000000,20.340000,19.030001,20.080000,20.080000,828400
2019-03-12,20.250000,21.100000,20.000000,20.750000,20.750000,346900
2019-03-13,21.480000,23.930000,21.020000,22.945000,22.945000,452100
2019-03-14,23.760000,23.760000,22.000000,22.799999,22.799999,408400
2019-03-15,22.840000,23.010000,21.250000,21.799999,21.799999,271800
2019-03-18,21.990000,22.200001,20.010000,21.389999,21.389999,396400
2019-03-19,21.360001,21.500000,20.480000,20.510000,20.510000,87900
2019-03-20,20.540001,20.650000,20.250000,20.500000,20.500000,111900
2019-03-21,20.500000,22.490000,20.500000,21.500000,21.500000,197100
2019-03-22,21.879999,22.330000,20.660000,21.000000,21.000000,103300
2019-03-25,21.129999,21.139999,20.200001,20.500000,20.500000,132900
2019-03-26,21.299999,21.299999,20.610001,21.139999,21.139999,98300
2019-03-27,21.090000,21.190001,20.250000,21.040001,21.040001,49300
2019-03-28,20.889999,21.090000,20.410000,21.010000,21.010000,46700
2019-03-29,21.200001,21.200001,20.600000,20.610001,20.610001,41800
2019-04-01,20.850000,21.549999,20.639999,21.379999,21.379999,151600
2019-04-02,21.700001,22.080000,21.400000,21.520000,21.520000,159400
2019-04-03,21.690001,22.000000,21.590000,21.850000,21.850000,136500
2019-04-04,21.900000,21.930000,21.250000,21.250000,21.250000,66200
2019-04-05,21.459999,21.770000,21.059999,21.350000,21.350000,72500
2019-04-08,21.540001,22.400000,21.350000,22.260000,22.260000,216800
2019-04-09,22.260000,22.260000,21.180000,21.709999,21.709999,106200
2019-04-10,21.879999,22.150000,21.820000,21.969999,21.969999,106800
2019-04-11,22.000000,22.219999,21.930000,22.059999,22.059999,82600
2019-04-12,22.110001,24.750000,22.030001,23.900000,23.900000,207600
2019-04-15,24.080000,24.950001,23.520000,24.250000,24.250000,170500
2019-04-16,24.770000,25.400000,24.500000,24.959999,24.959999,110300
2019-04-17,25.120001,25.150000,24.559999,25.150000,25.150000,66900
2019-04-18,25.090000,25.090000,23.920000,24.250000,24.250000,60500
2019-04-22,24.240000,24.690001,24.160000,24.500000,24.500000,35000
2019-04-23,24.790001,25.000000,24.610001,25.000000,25.000000,73400
2019-04-24,24.969999,24.969999,23.900000,24.120001,24.120001,95300
2019-04-25,24.170000,24.879999,23.940001,24.139999,24.139999,82200
2019-04-26,23.969999,24.600000,23.950001,24.420000,24.420000,52000
2019-04-29,24.780001,24.780001,24.150000,24.240000,24.240000,66600
2019-04-30,24.340000,25.000000,24.219999,24.990000,24.990000,84100
2019-05-01,25.000000,25.125000,24.520000,24.980000,24.980000,104900
2019-05-02,25.000000,25.000000,24.299999,25.000000,25.000000,104300
2019-05-03,25.100000,25.250000,24.559999,25.110001,25.110001,110900
2019-05-06,24.860001,25.000000,24.650000,24.760000,24.760000,67000
2019-05-07,24.610001,24.850000,23.950001,23.950001,23.950001,97400
2019-05-08,23.959999,24.200001,23.320000,23.850000,23.850000,97400
2019-05-09,23.719999,23.719999,23.020000,23.680000,23.680000,62200
2019-05-10,23.290001,23.969999,23.030001,23.680000,23.680000,56800
2019-05-13,23.000000,23.350000,22.260000,22.900000,22.900000,122000
2019-05-14,23.000000,23.180000,22.780001,23.100000,23.100000,52100
2019-05-15,22.969999,23.230000,22.760000,23.230000,23.230000,44500
2019-05-16,23.290001,23.980000,23.110001,23.930000,23.930000,76100
2019-05-17,23.650000,23.830000,23.129999,23.830000,23.830000,74200
2019-05-21,23.840000,23.850000,23.400000,23.400000,23.400000,20700
2019-05-22,23.360001,23.660000,23.350000,23.639999,23.639999,36400
